No,Intent,Category,Question
132,thanks,Thanks,"Nice one, thanks"
133,thanks,Thanks,"Perfect, thank you"
134,thanks,Thanks,Thank you for the information
135,thanks,Thanks,Thanks for the quick answer
136,thanks,Thanks,I really appreciate your help
137,thanks,Thanks,Many thanks for the explanation
138,thanks,Thanks,"Thank you, that was useful"
139,thanks,Thanks,Thanks for the assistance
140,thanks,Thanks,"That answers my question, thanks"
141,thanks,Thanks,"Perfect, thanks"
142,thanks,Thanks,"Great answer, thank you"
143,thanks,Thanks,Appreciate the information
144,thanks,Thanks,Thanks for your support
145,thanks,Thanks,Thanks for explaining that
146,thanks,Thanks,Thank you for answering my question
147,thanks,Thanks,Much appreciated
148,thanks,Thanks,Thanks a bunch
149,library_hours,Library Hours,What time does the library open?
150,library_hours,Library Hours,When does the library open?
151,library_hours,Library Hours,When is the library open?
152,library_hours,Library Hours,What are the library opening hours?
153,library_hours,Library Hours,What are the library hours?
154,library_hours,Library Hours,Library opening time
155,library_hours,Library Hours,Library closing time
156,library_hours,Library Hours,When does the library close?
157,library_hours,Library Hours,What time does the library close?
158,library_hours,Library Hours,Is the library open today?
159,library_hours,Library Hours,Can I visit the library at night?
160,library_hours,Library Hours,What time can I study in the library?
161,library_hours,Library Hours,When can students use the library?
162,library_hours,Library Hours,Library operating hours
163,library_hours,Library Hours,Library schedule
164,library_hours,Library Hours,Is the library open on weekends?
165,library_hours,Library Hours,What are the library working hours?
166,library_hours,Library Hours,When can I enter the library?
167,library_hours,Library Hours,Does the library open in the morning?
168,library_hours,Library Hours,Does the library close at night?
169,library_hours,Library Hours,Is the library open past 10 PM?
170,library_hours,Library Hours,What are the weekend library opening times?
171,library_hours,Library Hours,Can I enter the library early at 7 AM?
172,library_hours,Library Hours,Are library hours different during final exam week?
173,library_hours,Library Hours,When does the library close on Friday evenings?
174,library_hours,Library Hours,What time can I access the library quiet study zone?
175,library_hours,Library Hours,Does the campus library stay open during public holidays?
176,library_hours,Library Hours,What is the library timetable for summer semester?
177,library_hours,Library Hours,Until what time is the library open tonight?
178,library_hours,Library Hours,Library operating times today
179,library_hours,Library Hours,Is the library open on Sunday afternoon?
180,library_hours,Library Hours,Show me library opening and closing hours
181,library_hours,Library Hours,When does the library open tomorrow morning?
182,library_hours,Library Hours,Can I stay in the library until midnight?
183,library_hours,Library Hours,What are the official library service hours?
184,library_hours,Library Hours,Library hours
185,library_hours,Library Hours,Library timing
186,library_hours,Library Hours,Library open now?
187,library_hours,Library Hours,Library hours today
188,library_hours,Library Hours,What time library close
189,library_hours,Library Hours,When can I use the library?
190,library_hours,Library Hours,What are the library service hours?
191,library_hours,Library Hours,When is the library available?
192,library_hours,Library Hours,Is the library open in the evening?
193,library_hours,Library Hours,Can I study in the library after 8 PM?
194,library_hours,Library Hours,Can I study in the library on Saturday?
195,library_hours,Library Hours,What are the library hours during weekdays?
196,library_hours,Library Hours,Does the library have different holiday hours?
197,library_hours,Library Hours,What are the library hours during exams?
198,library_hours,Library Hours,When does the library open on weekdays?
199,library_hours,Library Hours,When does the library close on weekdays?
200,library_hours,Library Hours,Can I enter the library late at night?
201,library_hours,Library Hours,What time does the library start service?
202,library_hours,Library Hours,What time does the library stop service?
203,library_hours,Library Hours,Is the library open during the weekend?
204,library_hours,Library Hours,Can I use the library on Sunday?
205,library_hours,Library Hours,Is the library open during public holidays?
206,library_hours,Library Hours,Please tell me the library schedule
207,library_location,Library Location,Where is the library?
208,library_location,Library Location,Where can I find the library?
209,library_location,Library Location,Library location
210,library_location,Library Location,How do I get to the library?
211,library_location,Library Location,Where is the university library?
212,library_location,Library Location,Which building is the library in?
213,library_location,Library Location,Where can I find the main library?
214,library_location,Library Location,How can I reach the library?
215,library_location,Library Location,Where is the library building?
216,library_location,Library Location,Library address
217,library_location,Library Location,Which block has the library?
218,library_location,Library Location,Where is the library study area?
219,library_location,Library Location,Where is the main library located?
220,library_location,Library Location,Can you tell me where the library is?
221,library_location,Library Location,I need directions to the library
222,library_location,Library Location,How do I find the library?
223,library_location,Library Location,Which floor is the library?
224,library_location,Library Location,Where is the campus library?
225,library_location,Library Location,Where can students find the library?
226,library_location,Library Location,Tell me the library location
227,library_location,Library Location,Which floor is the quiet study zone in the library?
228,library_location,Library Location,How can I walk to the main library building?
229,library_location,Library Location,Is the library located near the student centre?
230,library_location,Library Location,Where is the physical entrance of the university library?
231,library_location,Library Location,Can you direct me to the campus reading hall?
232,library_location,Library Location,Which block houses the central library?
233,library_location,Library Location,Where can I find the book borrowing counter?
234,library_location,Library Location,How do I locate the library reference section?
235,library_location,Library Location,Where is the library seminar room located?
236,library_location,Library Location,Is the library next to Block A or Block B?
237,library_location,Library Location,Can you guide me to the library building?
238,library_location,Library Location,Where do I find the library discussion rooms?
239,library_location,Library Location,Directions to the main university library
240,library_location,Library Location,What is the exact location of the library block?
241,library_location,Library Location,Which floor has the computer workstations in the library?
242,library_location,Library Location,How do I reach the library from the main entrance?
243,library_location,Library Location,Show me the route to the library building
244,library_location,Library Location,Which campus building contains the library?
245,library_location,Library Location,Where is the library reading room?
246,library_location,Library Location,Please direct me to the library entrance
247,library_location,Library Location,How many books can I borrow at once?
248,library_location,Library Location,How do I reserve a book that is not available?
249,library_location,Library Location,How do I check which books I currently have on loan?
250,library_location,Library Location,Where's the library
251,library_location,Library Location,Library directions
252,library_location,Library Location,How to reach library
253,library_location,Library Location,Where can I find the main library entrance?
254,library_location,Library Location,Which part of campus has the library?
255,library_location,Library Location,Which block is the library next to?
256,library_location,Library Location,Is the library near Block M?
257,library_location,Library Location,Is the library near Block N?
258,library_location,Library Location,How do I get to the library from Gate 1?
259,library_location,Library Location,How do I get to the library from Gate 3?
260,library_location,Library Location,Where is the library reading area?
261,library_location,Library Location,Where is the library reference area?
262,library_location,Library Location,Where are the library discussion rooms?
263,library_location,Library Location,Where is the library seminar room?
264,library_location,Library Location,Can you give me directions to the main library?
265,library_location,Library Location,Is the library in West Campus?
266,library_location,Library Location,Where is the library from the main entrance?
267,library_location,Library Location,How far is the library from Gate 1?
268,library_location,Library Location,What building is beside the library?
269,library_location,Library Location,Which campus area contains the library?
270,library_location,Library Location,Where is Library?
271,library_location,Library Location,How do I get to Library?
272,library_location,Library Location,Which gate is closest to Library?
273,library_location,Library Location,Which block is Library next to?
274,library_location,Library Location,library where
275,library_location,Library Location,where library
276,library_location,Library Location,can you tell me library location
277,library_location,Library Location,need direction to library
278,library_location,Library Location,how to go library
279,library_location,Library Location,library在哪
280,course_information,Course Information,What courses are available?
281,course_information,Course Information,What subjects can I take?
282,course_information,Course Information,Tell me about the courses
283,course_information,Course Information,What programmes does the university offer?
284,course_information,Course Information,What subjects does the university offer?
285,course_information,Course Information,What degrees are offered?
286,course_information,Course Information,How many courses are available?
287,course_information,Course Information,What can I study at the university?
288,course_information,Course Information,What study programmes do you have?
289,course_information,Course Information,What is the course syllabus for Computer Science?
290,course_information,Course Information,How many credit hours are required for this subject?
291,course_information,Course Information,Can you provide details about degree prerequisites?
292,course_information,Course Information,What modules are included in the IT diploma programme?
293,course_information,Course Information,Where can I read the full course outline?
294,course_information,Course Information,What subjects are taught in the Software Engineering degree?
295,course_information,Course Information,Tell me about the curriculum for Business Administration.
296,course_information,Course Information,What are the elective modules available for Year 2 students?
297,course_information,Course Information,Are there any prerequisite subjects for Data Structures?
298,course_information,Course Information,What is covered in the Data Mining course?
299,course_information,Course Information,Can I get a breakdown of the subject structure?
300,course_information,Course Information,What academic prerequisites do I need for this programme?
301,course_information,Course Information,Tell me the list of subjects in the semester handbook.
302,course_information,Course Information,What core modules are offered by the Computing Faculty?
303,course_information,Course Information,I want to know the detailed course structure.
304,course_information,Course Information,What major subjects can I take in artificial intelligence?
305,course_information,Course Information,Where is the full programme brochure available?
306,course_information,Course Information,What is the credit value for Discrete Mathematics?
307,course_information,Course Information,Which subjects are compulsory for this semester?
308,course_information,Course Information,Can you list the subjects offered under Information Technology?
309,course_information,Course Information,Where can I check the course outline for my major?
310,course_information,Course Information,What topics are included in the Web Development syllabus?
311,course_information,Course Information,Can you show me the degree module specifications?
312,course_information,Course Information,What subjects do first year computing students take?
313,course_information,Course Information,Tell me about the course content for Cyber Security.
314,course_information,Course Information,What subjects are included in the Information Technology programme?
315,course_information,Course Information,Explain the syllabus topics for Database Systems.
316,course_information,Course Information,Is Data Structures a compulsory module or an elective?
317,course_information,Course Information,What are the programme requirements for a Computing degree?
318,course_information,Course Information,Which modules are listed in the Software Engineering curriculum?
319,course_information,Course Information,Where can I find official details about course credits?
320,course_information,Course Information,Course info
321,course_information,Course Information,Programme list
322,course_information,Course Information,Degree programmes
323,course_information,Course Information,Available courses
324,course_information,Course Information,What can I study
325,course_information,Course Information,What degree programmes can I study?
326,course_information,Course Information,What diploma programmes are available?
327,course_information,Course Information,What foundation programmes are available?
328,course_information,Course Information,Which programmes are offered in computing?
329,course_information,Course Information,What programmes are offered in business?
330,course_information,Course Information,What programmes are offered in engineering?
331,course_information,Course Information,Where can I find programme details?
332,course_information,Course Information,Where can I find the curriculum?
333,course_information,Course Information,Where can I find the subject list?
334,course_information,Course Information,Can I see the course structure?
335,course_information,Course Information,Can you explain the programme requirements?
336,course_information,Course Information,What modules are in my programme?
337,course_information,Course Information,Which subjects are compulsory?
338,course_information,Course Information,Where can I check credit hours?
339,course_information,Course Information,Can I see the course outline?
340,course_information,Course Information,What subjects are offered in IT?
341,course_information,Course Information,What courses are available for a computing student?
342,course_information,Course Information,Which subjects are included in the degree?
343,course_information,Course Information,What subjects do students take in the programme?
344,course_information,Course Information,Please give me information about courses
345,course_information,Course Information,I need course information
346,course_information,Course Information,Where can I learn more about university programmes?
347,course_information,Course Information,Can you explain the available programmes?
348,course_recommendation,Course Recommendation,Which programming course should I take?
349,course_recommendation,Course Recommendation,Recommend a programming subject
350,course_recommendation,Course Recommendation,What course should I choose?
351,course_recommendation,Course Recommendation,Can you recommend a course?
352,course_recommendation,Course Recommendation,Which subject is suitable for me?
353,course_recommendation,Course Recommendation,What programming subject is good?
354,course_recommendation,Course Recommendation,Which course is best for programming?
355,course_recommendation,Course Recommendation,Can you suggest a subject?
356,course_recommendation,Course Recommendation,I need a recommendation for choosing a course
357,course_recommendation,Course Recommendation,What subject should I study?
358,course_recommendation,Course Recommendation,Recommend a university course
359,course_recommendation,Course Recommendation,Which subject should I choose?
360,course_recommendation,Course Recommendation,I want a course recommendation
361,course_recommendation,Course Recommendation,What course is suitable for a beginner?
362,course_recommendation,Course Recommendation,Which IT course should I take?
363,course_recommendation,Course Recommendation,Suggest a programming course
364,course_recommendation,Course Recommendation,Which computing subject should I choose?
365,course_recommendation,Course Recommendation,Can you help me select a course?
366,course_recommendation,Course Recommendation,What course is good for someone interested in technology?
367,course_recommendation,Course Recommendation,Please recommend subjects based on my interests
368,course_recommendation,Course Recommendation,Which elective course is beginner friendly for programming?
369,course_recommendation,Course Recommendation,Can you suggest a good course for AI enthusiasts?
370,course_recommendation,Course Recommendation,What is the best elective to pick for networking?
371,course_recommendation,Course Recommendation,Could you recommend a light workload subject?
372,course_recommendation,Course Recommendation,Which subject should I select for web design?
373,course_recommendation,Course Recommendation,What programming elective would you advise taking?
374,course_recommendation,Course Recommendation,Suggest a good course to improve data analytics skills.
375,course_recommendation,Course Recommendation,"I am lost on which course to pick, any suggestions?"
376,course_recommendation,Course Recommendation,Which computing track is best for future job opportunities?
377,course_recommendation,Course Recommendation,Can you give me recommendations for software electives?
378,course_recommendation,Course Recommendation,What is a recommended subject for beginners in Python?
379,course_recommendation,Course Recommendation,Which course would you recommend for game development?
380,course_recommendation,Course Recommendation,What elective is highly rated by senior students?
381,course_recommendation,Course Recommendation,Which subject is most useful for cloud computing?
382,course_recommendation,Course Recommendation,Can you guide me on which optional subject to select?
383,course_recommendation,Course Recommendation,Recommend an elective for someone who enjoys coding
384,course_recommendation,Course Recommendation,Which course would suit my interest in cybersecurity?
385,course_recommendation,Course Recommendation,Suggest a module that matches a career in data analysis
386,course_recommendation,Course Recommendation,"I want a recommendation, not a course description"
387,course_recommendation,Course Recommendation,What elective do you recommend for a beginner in web development?
388,course_recommendation,Course Recommendation,Help me choose between programming and networking electives
389,course_recommendation,Course Recommendation,Course recommendation
390,course_recommendation,Course Recommendation,Recommend a subject
391,course_recommendation,Course Recommendation,Suggest a course
392,course_recommendation,Course Recommendation,What should I study
393,course_recommendation,Course Recommendation,Which course would be good for me?
394,course_recommendation,Course Recommendation,Can you help me pick an elective?
395,course_recommendation,Course Recommendation,What should I take if I enjoy coding?
396,course_recommendation,Course Recommendation,What should I study if I like AI?
397,course_recommendation,Course Recommendation,What should I take if I like networking?
398,course_recommendation,Course Recommendation,Which subject is suitable for a beginner?
399,course_recommendation,Course Recommendation,Which elective is good for web development?
400,course_recommendation,Course Recommendation,Which subject helps with data analytics?
401,course_recommendation,Course Recommendation,What should I choose for a software career?
402,course_recommendation,Course Recommendation,Which course is useful for cybersecurity?
403,course_recommendation,Course Recommendation,What subject should I choose for cloud computing?
404,course_recommendation,Course Recommendation,Can you suggest a computing elective?
405,course_recommendation,Course Recommendation,Which course would fit someone new to programming?
406,course_recommendation,Course Recommendation,Help me decide between two electives
407,course_recommendation,Course Recommendation,What should I study for a technology career?
408,course_recommendation,Course Recommendation,Which module should I choose based on my interests?
409,timetable,Timetable,What is my timetable?
410,timetable,Timetable,Show my timetable
411,timetable,Timetable,What classes do I have today?
412,timetable,Timetable,When is my next class?
413,timetable,Timetable,Class schedule
414,timetable,Timetable,Where can I see my timetable?
415,timetable,Timetable,What time is my class?
416,timetable,Timetable,When do I have class?
417,timetable,Timetable,What classes are scheduled today?
418,timetable,Timetable,Can I check my class timetable?
419,timetable,Timetable,Tell me my class schedule
420,timetable,Timetable,When is my next lecture?
421,timetable,Timetable,What is my class schedule?
422,timetable,Timetable,Where can I find the timetable?
423,timetable,Timetable,Show me today's classes
424,timetable,Timetable,Do I have class today?
425,timetable,Timetable,What time is my next lecture?
426,timetable,Timetable,When is my next lesson?
427,timetable,Timetable,How can I check my timetable?
428,timetable,Timetable,I want to view my timetable
429,timetable,Timetable,Where can I download my class schedule PDF?
430,timetable,Timetable,What venue is my Discrete Mathematics class held at?
431,timetable,Timetable,Can you show my daily lecture timetable?
432,timetable,Timetable,What time does my morning tutorial start?
433,timetable,Timetable,Which classroom is assigned for my lab class today?
434,timetable,Timetable,When is my next tutorial session?
435,timetable,Timetable,How do I access my personalized student timetable?
436,timetable,Timetable,Are there any timetable clashes in my course schedule?
437,timetable,Timetable,What time is my Database Systems lecture on Thursday?
438,timetable,Timetable,Where is my Data Structures lab located today?
439,timetable,Timetable,Can I check my class schedule for next week?
440,timetable,Timetable,Show me my weekly class lecture timetable.
441,timetable,Timetable,What time should I arrive for my Monday class?
442,timetable,Timetable,Which room is designated for Ethics & Civilisation?
443,timetable,Timetable,How can I view my updated tutorial schedule?
444,timetable,Timetable,Class timetable
445,timetable,Timetable,My schedule
446,timetable,Timetable,Today's classes
447,timetable,Timetable,Next class
448,timetable,Timetable,Can I see today's classes?
449,timetable,Timetable,Can you show the class schedule?
450,timetable,Timetable,What lectures do I have today?
451,timetable,Timetable,Which class is next?
452,timetable,Timetable,What is my class timetable for this week?
453,timetable,Timetable,Where can I view my timetable?
454,timetable,Timetable,What time is the next lecture?
455,timetable,Timetable,What classes are on Monday?
456,timetable,Timetable,What classes are on Tuesday?
457,timetable,Timetable,What classes are on Wednesday?
458,timetable,Timetable,What classes are on Thursday?
459,timetable,Timetable,What classes are on Friday?
460,timetable,Timetable,What room is my class in?
461,timetable,Timetable,Where is my next class?
462,timetable,Timetable,Can you check my class schedule?
463,timetable,Timetable,Which course do I have at 9 AM?
464,timetable,Timetable,What time does Data Structures start?
465,timetable,Timetable,Where is my Data Structures class?
466,timetable,Timetable,When is my Database Systems class?
467,timetable,Timetable,When is CSC2103 Data Structures?
468,timetable,Timetable,What time is CSC2103 Data Structures?
469,timetable,Timetable,Where is CSC2103 Data Structures held?
470,timetable,Timetable,Which day is CSC2103 Data Structures?
471,timetable,Timetable,What is the venue for CSC2103 Data Structures?
472,timetable,Timetable,Where is my CSC2103 Data Structures class?
473,timetable,Timetable,When do I have CSC2103 Data Structures?
474,timetable,Timetable,What room is CSC2103 Data Structures in?
475,timetable,Timetable,When is CSC2104 Object-Oriented Programming?
476,timetable,Timetable,What time is CSC2104 Object-Oriented Programming?
477,timetable,Timetable,Where is CSC2104 Object-Oriented Programming held?
478,timetable,Timetable,Which day is CSC2104 Object-Oriented Programming?
479,timetable,Timetable,What is the venue for CSC2104 Object-Oriented Programming?
480,timetable,Timetable,Where is my CSC2104 Object-Oriented Programming class?
481,timetable,Timetable,When do I have CSC2104 Object-Oriented Programming?
482,timetable,Timetable,What room is CSC2104 Object-Oriented Programming in?
483,timetable,Timetable,When is MPU3123 Bahasa Kebangsaan A?
484,timetable,Timetable,What time is MPU3123 Bahasa Kebangsaan A?
485,timetable,Timetable,Where is MPU3123 Bahasa Kebangsaan A held?
486,timetable,Timetable,Which day is MPU3123 Bahasa Kebangsaan A?
487,timetable,Timetable,What is the venue for MPU3123 Bahasa Kebangsaan A?
488,timetable,Timetable,Where is my MPU3123 Bahasa Kebangsaan A class?
489,timetable,Timetable,When do I have MPU3123 Bahasa Kebangsaan A?
490,timetable,Timetable,What room is MPU3123 Bahasa Kebangsaan A in?
491,timetable,Timetable,When is CSC2201 Database Systems - Tutorial?
492,timetable,Timetable,What time is CSC2201 Database Systems - Tutorial?
493,timetable,Timetable,Where is CSC2201 Database Systems - Tutorial held?
494,timetable,Timetable,Which day is CSC2201 Database Systems - Tutorial?
495,timetable,Timetable,What is the venue for CSC2201 Database Systems - Tutorial?
496,timetable,Timetable,Where is my CSC2201 Database Systems - Tutorial class?
497,timetable,Timetable,When do I have CSC2201 Database Systems - Tutorial?
498,timetable,Timetable,What room is CSC2201 Database Systems - Tutorial in?
499,timetable,Timetable,When is CSC2501 Web Development?
500,timetable,Timetable,What time is CSC2501 Web Development?
501,timetable,Timetable,Where is CSC2501 Web Development held?
502,timetable,Timetable,Which day is CSC2501 Web Development?
503,timetable,Timetable,What is the venue for CSC2501 Web Development?
504,timetable,Timetable,Where is my CSC2501 Web Development class?
505,timetable,Timetable,When do I have CSC2501 Web Development?
506,timetable,Timetable,What room is CSC2501 Web Development in?
507,timetable,Timetable,When is CSC2205 Computer Networks?
508,timetable,Timetable,What time is CSC2205 Computer Networks?
509,timetable,Timetable,Where is CSC2205 Computer Networks held?
510,timetable,Timetable,Which day is CSC2205 Computer Networks?
511,timetable,Timetable,What is the venue for CSC2205 Computer Networks?
512,timetable,Timetable,Where is my CSC2205 Computer Networks class?
513,timetable,Timetable,When do I have CSC2205 Computer Networks?
514,timetable,Timetable,What room is CSC2205 Computer Networks in?
515,timetable,Timetable,When is CSC2301 Operating Systems?
516,timetable,Timetable,What time is CSC2301 Operating Systems?
517,timetable,Timetable,Where is CSC2301 Operating Systems held?
518,timetable,Timetable,Which day is CSC2301 Operating Systems?
519,timetable,Timetable,What is the venue for CSC2301 Operating Systems?
520,timetable,Timetable,Where is my CSC2301 Operating Systems class?
521,timetable,Timetable,When do I have CSC2301 Operating Systems?
522,timetable,Timetable,What room is CSC2301 Operating Systems in?
523,timetable,Timetable,When is ENG2101 Academic English - Tutorial?
524,timetable,Timetable,What time is ENG2101 Academic English - Tutorial?
525,timetable,Timetable,Where is ENG2101 Academic English - Tutorial held?
526,timetable,Timetable,Which day is ENG2101 Academic English - Tutorial?
527,timetable,Timetable,What is the venue for ENG2101 Academic English - Tutorial?
528,timetable,Timetable,Where is my ENG2101 Academic English - Tutorial class?
529,timetable,Timetable,When do I have ENG2101 Academic English - Tutorial?
530,timetable,Timetable,What room is ENG2101 Academic English - Tutorial in?
531,timetable,Timetable,When is MAT2102 Discrete Mathematics?
532,timetable,Timetable,What time is MAT2102 Discrete Mathematics?
533,timetable,Timetable,Where is MAT2102 Discrete Mathematics held?
534,timetable,Timetable,Which day is MAT2102 Discrete Mathematics?
535,timetable,Timetable,What is the venue for MAT2102 Discrete Mathematics?
536,timetable,Timetable,Where is my MAT2102 Discrete Mathematics class?
537,timetable,Timetable,When do I have MAT2102 Discrete Mathematics?
538,timetable,Timetable,What room is MAT2102 Discrete Mathematics in?
539,timetable,Timetable,When is CSC2701 Artificial Intelligence Fundamentals?
540,timetable,Timetable,What time is CSC2701 Artificial Intelligence Fundamentals?
541,timetable,Timetable,Where is CSC2701 Artificial Intelligence Fundamentals held?
542,timetable,Timetable,Which day is CSC2701 Artificial Intelligence Fundamentals?
543,timetable,Timetable,What is the venue for CSC2701 Artificial Intelligence Fundamentals?
544,timetable,Timetable,Where is my CSC2701 Artificial Intelligence Fundamentals class?
545,timetable,Timetable,When do I have CSC2701 Artificial Intelligence Fundamentals?
546,timetable,Timetable,What room is CSC2701 Artificial Intelligence Fundamentals in?
547,timetable,Timetable,When is CSC2103 Data Structures - Lab?
548,timetable,Timetable,What time is CSC2103 Data Structures - Lab?
549,timetable,Timetable,Where is CSC2103 Data Structures - Lab held?
550,timetable,Timetable,Which day is CSC2103 Data Structures - Lab?
551,timetable,Timetable,What is the venue for CSC2103 Data Structures - Lab?
552,timetable,Timetable,Where is my CSC2103 Data Structures - Lab class?
553,timetable,Timetable,When do I have CSC2103 Data Structures - Lab?
554,timetable,Timetable,What room is CSC2103 Data Structures - Lab in?
555,timetable,Timetable,When is MPU3203 Ethics & Civilisation?
556,timetable,Timetable,What time is MPU3203 Ethics & Civilisation?
557,timetable,Timetable,Where is MPU3203 Ethics & Civilisation held?
558,timetable,Timetable,Which day is MPU3203 Ethics & Civilisation?
559,timetable,Timetable,What is the venue for MPU3203 Ethics & Civilisation?
560,timetable,Timetable,Where is my MPU3203 Ethics & Civilisation class?
561,timetable,Timetable,When do I have MPU3203 Ethics & Civilisation?
562,timetable,Timetable,What room is MPU3203 Ethics & Civilisation in?
563,timetable,Timetable,When is MAT2102 Discrete Mathematics - Tutorial?
564,timetable,Timetable,What time is MAT2102 Discrete Mathematics - Tutorial?
565,timetable,Timetable,Where is MAT2102 Discrete Mathematics - Tutorial held?
566,timetable,Timetable,Which day is MAT2102 Discrete Mathematics - Tutorial?
567,timetable,Timetable,What is the venue for MAT2102 Discrete Mathematics - Tutorial?
568,timetable,Timetable,Where is my MAT2102 Discrete Mathematics - Tutorial class?
569,timetable,Timetable,When do I have MAT2102 Discrete Mathematics - Tutorial?
570,timetable,Timetable,What room is MAT2102 Discrete Mathematics - Tutorial in?
571,timetable,Timetable,When is CSC2401 Software Engineering?
572,timetable,Timetable,What time is CSC2401 Software Engineering?
573,timetable,Timetable,Where is CSC2401 Software Engineering held?
